wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.18643.1.A1_at,8.158970966,5.733627336,8.828202986,4.319730257,10.90636409,7.474214522
Dr.2855.2.S1_at,4.681746984,5.222973932,4.452704945,5.725494275,4.076943336,5.338165328
Dr.12295.3.A1_at,7.227647552,7.701912133,6.936331249,7.55143839,7.528459056,8.153998165
Dr.12255.1.A1_at,9.46490025,9.269040521,9.460852028,9.240679392,9.314705592,9.086648574
Dr.7525.1.A1_at,10.9350373,11.34023055,10.72849108,11.21769887,10.62019101,11.47955191
AFFX-CreX-3_at,13.70228572,13.45782742,14.0571481,13.54426867,13.85242346,13.43921412
Dr.23570.1.A1_at,3.668529134,4.236182824,3.74538338,4.441426906,3.671283775,4.874201266
Dr.18412.1.S1_at,10.10666837,9.88242102,10.01661926,9.884445113,10.06080189,9.881883956
Dr.25404.1.S1_at,7.09137143,8.334447036,6.514545788,7.487723048,7.519074867,8.265486946
Dr.1908.1.A1_at,5.934552587,5.658095609,6.060226618,5.766632853,6.223405636,5.944135135
Dr.17109.1.A1_at,8.799704106,8.623934179,8.687242377,8.494515035,8.687487124,8.511357322
Dr.25673.2.S1_at,9.583582825,8.851342622,9.782357904,9.029334258,10.54503912,9.571419671
Dr.25284.1.A1_at,12.81224265,13.09258158,12.86822141,13.28434963,12.58199598,13.20463975
Dr.2921.1.A1_at,5.840609591,6.824257661,6.115545547,7.025215958,5.240710888,7.117199365
Dr.14914.1.A1_at,5.837647864,6.544130081,6.326103858,6.810423627,6.235525978,6.603029433
Dr.4447.1.S1_at,10.7716045,10.99947024,10.87555304,11.11099556,10.61379917,10.98113422
Dr.17837.1.S1_at,10.38825754,10.12381077,10.59485305,10.06697213,10.27328662,9.813269393
Dr.16172.1.A1_s_at,11.07495013,10.73663234,11.20201602,11.00016978,11.15071164,10.89916315
Dr.15595.2.S1_at,3.672454401,3.305209834,4.031039896,3.561050183,3.90880021,3.621743477
Dr.12760.1.A1_at,4.167361784,3.626893146,4.784383176,4.15938495,4.501822121,4.044670822
Dr.899.1.S1_at,14.04607532,14.29482544,13.81531406,14.26461182,14.13263635,14.4425731
Dr.8003.1.A1_at,7.821463429,7.599849817,7.850398198,7.666595449,7.694408059,7.50846151
Dr.2241.1.S1_at,9.896543233,9.530660653,9.554564224,9.19581829,9.537590176,9.182782026
Dr.24599.1.S1_at,3.802141443,4.82478021,4.613245081,5.606032153,3.734385969,4.510445503
Dr.22152.1.A1_at,7.702092083,7.976949792,7.68070056,8.004274826,7.806414391,7.9509784
Dr.4833.5.A1_at,6.444131351,5.526491349,6.790249992,6.152971914,6.481352571,6.028302915
Dr.2393.1.S1_at,11.49925223,11.25867185,11.44417279,11.10780697,11.69888818,11.18141378
Dr.16082.1.S1_at,3.423105263,3.000456614,3.19881536,3.000633546,3.445690547,3.11324432
Dr.7659.1.A1_at,12.10640245,12.28152916,11.92714724,12.16796932,12.09447185,12.30160609
Dr.8752.1.A1_a_at,9.622952729,9.210765085,10.14165509,9.285884016,10.33490222,9.525056048
Dr.11945.1.A1_at,3.603798666,3.328111472,3.927282815,3.571695678,3.862161095,3.578248899
Dr.1990.1.A1_at,7.212416027,6.909975238,7.068389531,6.578777963,7.413063198,6.729336147
DrAffx.2.70.A1_s_at,11.15665513,10.66084415,11.52285719,11.16599098,11.53771501,11.05604643
Dr.9363.1.A1_at,10.52037939,10.18310693,10.57945639,10.24336133,10.33696099,9.810155905
Dr.5286.1.S1_at,5.26584393,5.666527218,4.843604066,5.358735189,4.664862975,5.424569466
Dr.16130.1.S1_at,9.170451641,10.71091743,8.341747903,10.96594289,9.9404886,11.11418267
Dr.7615.1.A1_at,9.815443415,9.113497034,9.491487069,9.218602767,9.559341208,9.021258287
